LWrist,-0.09049302,0.6086988,3.063889,0.04120731,-0.7208924,0.04836911,,RWrist,0.1069788,0.6096728,3.066716,0.6901278,-0.04836848,-0.7208925
RThumbT,-0.01605982,0.5695144,3.133382,0.4314449,0.2827135,0.4764631,,LThumbT,0.03254569,0.5704883,3.13621,-0.7119769,-0.4764637,0.2827131
RThumbT,-0.01605982,0.5695144,3.133382,0.4314449,0.2827135,0.4764631,,LThumbT,0.03254569,0.5704883,3.13621,-0.7119769,-0.4764637,0.2827131
LWrist,-0.09049302,0.6086988,6.289784,0.04120731,-0.7208924,0.04836911,,RWrist,0.1069788,0.6096728,6.292612,0.6901278,-0.04836848,-0.7208925
RThumbT,-0.01605982,0.5695144,6.359278,0.4314449,0.2827135,0.4764631,,LThumbT,0.03254569,0.5704883,6.362106,-0.7119769,-0.4764637,0.2827131
RThumbT,-0.01605982,0.5695144,6.359278,0.4314449,0.2827135,0.4764631,,LThumbT,0.03254569,0.5704883,6.362106,-0.7119769,-0.4764637,0.2827131
LWrist,-0.09049302,0.6086988,9.286798,0.04120731,-0.7208924,0.04836911,,RWrist,0.1069788,0.6096728,9.289626,0.6901278,-0.04836848,-0.7208925
RThumbT,-0.01605982,0.5695144,9.356293,0.4314449,0.2827135,0.4764631,,LThumbT,0.03254569,0.5704883,9.359119,-0.7119769,-0.4764637,0.2827131
RThumbT,-0.01605982,0.5695144,9.356293,0.4314449,0.2827135,0.4764631,,LThumbT,0.03254569,0.5704883,9.359119,-0.7119769,-0.4764637,0.2827131
LWrist,-0.09049302,0.6086988,12.28383,0.04120731,-0.7208924,0.04836911,,RWrist,0.1069788,0.6096728,12.28666,0.6901278,-0.04836848,-0.7208925
RThumbT,-0.01605982,0.5695144,12.35333,0.4314449,0.2827135,0.4764631,,LThumbT,0.03254569,0.5704883,12.35616,-0.7119769,-0.4764637,0.2827131
RThumbT,-0.01605982,0.5695144,12.35333,0.4314449,0.2827135,0.4764631,,LThumbT,0.03254569,0.5704883,12.35616,-0.7119769,-0.4764637,0.2827131
LWrist,0.6907383,0.6086988,15.11674,0.06077827,-0.2353291,0.01853687,,RWrist,0.7760735,0.6096728,14.93864,0.1928347,-0.06295079,-0.9791718
